"Postaja","Glob_sevanje_max","Glob_sevanje_mean","Glob_sevanje_min","Hitrost_vetra_max","Hitrost_vetra_mean","Hitrost_vetra_min","Sunki_vetra_max","Sunki_vetra_mean","Sunki_vetra_min","Padavine_mean","Padavine_sum","Pritisk_max","Pritisk_mean","Pritisk_min","Vlaga_max","Vlaga_mean","Vlaga_min","Temperatura_Krvavec_max","Temperatura_Krvavec_mean","Temperatura_Krvavec_min","Temperatura_lokacija_max","Temperatura_lokacija_mean","Temperatura_lokacija_min","PM10","O3","mesec","letni_cas","dan"
"2316","Ljubljana",470.9,112.2,0,1,0.6,0.4,2.8,1.8125,1.1,0,0,986.2,985.6625,985.3,91.9,83.1,69.6,13.9,12.225,11.3,20,16.625,14.6,14.4,110.2,7,"poletje","ponedeljek"
"562","Koper",277,59.5,0,2.1,1.6375,1.2,3.5,2.8,2,0.1,15.1,1013.7,1013.4125,1013.2,91.8,88.0875,79.6,10.5,8.625,8.2,21.9,19.8,18.4,15.7,109.75,8,"poletje","sreda"
"1845","Ljubljana",105,15.875,0,1.2,0.7625,0.5,2.4,1.7875,1.1,0,0,988,987.325,986.9,97.3,95.75,92.2,14.3,12.1125,10.7,12.4,10.7,9.7,21.7,66.8,10,"jesen","ponedeljek"
"1210","Koper",13,1.625,0,7.2,6.0375,3.7,13.7,11.45,7.9,0.2875,2.3,1000.9,999.7,998.8,81.1,76.875,73.8,6.1,5.4125,4,18.4,17.7125,17,13.7,78.2,11,"jesen","nedelja"
"93","Koper",382,69.5,0,3.5,2.3125,1.7,5.2,3.775,2.7,0,0,1017.2,1014.6,1012.5,70.6,66.8625,54.1,0.1,-0.1625,-0.5,16.2,13.5625,11.8,26.8,102.3,4,"spomlad","sobota"
"70","Koper",28,4,0,3.9,2.75,1,12.5,7.7375,4.7,0,0,993.1,991.65,990.3,72.9,61.4125,54.6,-3.4,-5.0625,-6.6,9.6,8.925,7.9,10.7,93.95,3,"zima","èetrtek"
"239","Koper",161,26.375,0,2.8,2.0875,1.6,4.9,3.55,2.4,0,0.1,1016.2,1014.8375,1013.8,73,69.5625,67.8,8.8,7.4375,6.3,21,19.4625,18.4,13.4,109.1,9,"poletje","nedelja"
"1361","Ljubljana",217,42,0,1.2,0.75,0.5,2.9,1.9875,1.3,0,0,984.4,983.775,983.1,90.9,87.4625,82.2,5,4.475,4.2,14.4,12.5625,11.5,26.7,109.15,4,"spomlad","ponedeljek"
"2386","Ljubljana",125,21.875,0,0.8,0.3125,0,1.8,1.2375,0.6,0,0,993.5,992.7875,992.3,96.7,93.2,90,11.5,10.5875,10,11.2,10.0625,9.4,28.6,116.6,9,"jesen","èetrtek"
"999","Koper",114,19.25,0,2.7,1.825,1.4,4.1,3.25,2,0,2.4,1004.2,1002.7625,1002,85,72.1625,54.9,6.2,5.3625,4.8,18.1,14.3,12.4,28.8,95.1,4,"spomlad","petek"
"633","Koper",87,11.375,0,2.8,2.275,1.9,4.3,3.425,3,0,0,1025.1,1024.5,1024.1,79.5,76.4625,70.9,7.8,6.5375,5.8,10.5,9.3125,8.5,20.1,74.25,11,"jesen","sobota"
